Unnamed: 0,date,top_5_titles
80,2020-01-29,"Attorney General Becerra Secures nearly $344 Million Judgment Against Johnson & Johnson for Endangering Patients through Deceptive Marketing of Pelvic Mesh Products - California Department of Justice | Johnson & Johnson Is Told to Pay $344 Million in Pelvic Mesh Suit (Published 2020) - The New York Times | Bayer's Nubeqa scores key prostate cancer win in battle with Pfizer, J&J - FiercePharma"
81,2020-01-30,Johnson & Johnson ordered to pay US$344 million in pelvic mesh case - CTV News|Johnson & Johnson Fined $344M in Pelvic Mesh Case - MPO-mag
82,2020-01-31,Transvaginal mesh: Johnson & Johnson fined $344m for deceptive marketing to women - The Guardian|Johnson & Johnson (JNJ) Fundamental Valuation Report - ValueWalk|Johnson & Johnson Acquires TARIS Biomedical - Contract Pharma
83,2020-02-01,
84,2020-02-02,
85,2020-02-03,Johnson & Johnson ordered to pay $344M in marketing case - Southwest Ledger|FDA to hold public meeting on testing for asbestos in talc - NBC News|Judge Sanctions Simmons Hanly for 'Frivolous' Disclosure of J&J CEO's Deposition - Law.com
86,2020-02-04,"Does baby powder cause cancer? Johnson & Johnson stops selling talc powder after years of scrutiny - USA TODAY|Johnson & Johnson Dr. Paul Janssen Award 2020 for Biomedical Research ($200,000 Cash prize) - Opportunity Desk"
87,2020-02-05,Jury Orders J&J to Pay $750 Million for Talc Case Punishment - Bloomberg
88,2020-02-06,Johnson & Johnson ordered to pay $750 million in New Jersey talc case: Lawyer - Fox Business
89,2020-02-07,nan
90,2020-02-08,
91,2020-02-09,"That's so presidential! 4 of Johnson & Johnson’s most memorable moments with heads of state - Johnson & Johnson | Johnson & Johnson ""most valuable"" pharma brand, says report - European Pharmaceutical Review"
92,2020-02-10,
93,2020-02-11,The charming way Johnson & Johnson showed its love to employees in the 1960s - Johnson & Johnson | Exclusive: Pharma firm exploited patient group to lobby NHS for drug approval - PR Week
94,2020-02-12,GIANT PARTNERSHI­P FROM JANSSEN AND ABDİ İBRAHİM PHARMACEUT­ICAL COMPANY - PressReader|Johnson and Johnson launch investigation after mothers claim children were left with 'burn' marks - Daily Mail
95,2020-02-13,Encouraging data for subcutaneous Stelara in Crohn's disease - The Pharma Letter|Baby wipe range withdrawn by Johnson & Johnson after parents report “burns” to children’s faces - Deadline News
96,2020-02-14,
97,2020-02-15,
98,2020-02-16,J&J Institute rolling out VR headsets to train surgeons - MedCity News|DePuy Synthes Confirms Plans To Move Distribution Center - InkFreeNews.com
99,2020-02-17,Johnson & Johnson to Expand Partnership with U.S. Department of Health & Human Services to Accelerate the Discovery of Potential COVID-19 Treatments - PR Newswire|Sanofi Pasteur to use SARS technology to expedite potential COVID-19 vaccine - The Pharma Letter
100,2020-02-18,J&J offered doctors free services and profit-making advice to boost Remicade scripts: whistleblower suit - FiercePharma|Johnson & Johnson pays $514 million in lump sums in 2019 - Pensions & Investments|GIRLGAMER Esports Festival Announces Partnerships With Multiple Cosmetics Brands – ARCHIVE - archive.esportsobserver.com
101,2020-02-19,
102,2020-02-20,J&J’s Ethicon mostly fends off Intuitive Surgical’s robotic surgery patent challenge - Mass Device
103,2020-02-21,
104,2020-02-22,"For U.S. Media Agency of the Year UM, Making Cannes-Worthy Movies Is Just Part of the Job - Adweek"
105,2020-02-23,Battle of the ’bots: 4 robotic surgery rivalries to watch in the year ahead - MedTech Dive
106,2020-02-24,"Johnson & Johnson Launches Heartline™, the First-of-its-Kind, Virtual Study Designed to Explore if a New iPhone App and Apple Watch Can Help Reduce the Risk of Stroke - PR Newswire|Apple Working With Johnson & Johnson on 'Heartline Study' Aimed at Reducing Risk of Stroke - MacRumors|“I Think They’ll Be Very Generous With You”: Inside a Trump Bedminster/Mar-a-Lago Drug Deal—Literally - Vanity Fair|Apple and Johnson & Johnson team up on new study to see if Apple Watch can reduce risk of stroke - CNBC"
107,2020-02-25,"Apple, J&J open enrollment of Heartline Study to Medicare seniors with iPhones - Mobihealth News|Apple, Johnson & Johnson team up on heart study using Apple Watches - Fierce healthcare|Why Apple and Johnson & Johnson's new heart study is a big deal for digital health - CNBC|Can an Apple Watch reduce the likelihood of suffering a stroke? The innovative study that's tackling the problem of AFib - Johnson & Johnson"
108,2020-02-26,How Johnson & Johnson fills its procurement talent pipeline - Supply Chain Dive|Can your Apple Watch help prevent a stroke? - Fast Company
109,2020-02-27,
110,2020-02-28,
111,2020-02-29,
112,2020-03-01,Johnson & Johnson to pay $2.6m to women with faulty pelvic mesh implants - ABC News | Thirty-One Dividend Aristocrats for Further Review - Dividend Growth Investor
113,2020-03-02,"Citing J&J's legal controversies, investor group calls for split of Gorsky's CEO and chairman roles - FiercePharma"
114,2020-03-03,
115,2020-03-04,J&J chief Alex Gorsky nabbed $25M pay package in year marked by legal controversy - FiercePharma | How a Red Bank lawyer won a $750 million verdict against Johnson & Johnson - Asbury Park Press
116,2020-03-05,Windows on the past: The Johnson & Johnson employees who were forever commemorated in stained glass - Johnson & Johnson|Supira Medical closes $35m Series B for its pVAD tech - Mass Device
117,2020-03-06,
118,2020-03-07,
119,2020-03-08,What it really feels like to have multiple sclerosis - Johnson & Johnson|Here's the Strategy Behind Miami Lawyers' $9 Million Win Against Johnson & Johnson - Law.com
120,2020-03-09,
121,2020-03-10,
122,2020-03-11,Beth Israel is working with Johnson & Johnson on a coronavirus vaccine - The Boston Globe|Thermo Fisher Scientific Signs Agreement with Janssen to Co-Develop Companion Diagnostic for Cancer - PR Newswire
123,2020-03-12,"Professor served cease and desist after publishing journal article - The Brown Daily Herald|J. Seward Johnson, world-renowned sculptor, dies at 89 - My Central Jersey"
124,2020-03-13,"Seward Johnson, Johnson & Johnson heir who sculpted real-life images in bronze, dies at 89 - The Washington Post"
125,2020-03-14,
126,2020-03-15,Covid-19 vaccine in development by J&J and BIDMC. - Pharmaceutical Technology
127,2020-03-16,
128,2020-03-17,Lapierre Aircode aero road & Aerostorm time trial disc brake prototypes teased & raced by FDJ - BikeRumor.com
129,2020-03-18,J&J's Tylenol production at maximum capacity as coronavirus boosts demand - Reuters.com|Former Visiogen Chief Executive Tapped to Lead PROCEPT BioRobotics - MPO-mag
130,2020-03-19,Janssen sends off NDA for new multiple sclerosis drug ponesimod - Fierce Biotech
131,2020-03-20,Wall Street analysts say buy these ‘safe-haven’ stocks amid market volatility - CNBC
132,2020-03-21,
133,2020-03-22,"J&J joins one-stop shop movement, backs Omnicom to lead media, digital ...everything - Mi3"
134,2020-03-23,
135,2020-03-24,
136,2020-03-25,How Johnson & Johnson companies used a ‘super poppy’ to make narcotics for America’s most abused opioid pills - The Washington Post
137,2020-03-26,"Advancing Well-Being and Resilience for Frontline Health Workers in COVID-19 - Johnson & Johnson|""I was on the front lines of the COVID-19 outbreak in Wuhan"": A doctor shares his story - Johnson & Johnson|Swiss operates the longest flight in its history with the Boeing 777 - aeroflap"
138,2020-03-27,"ACC: J&J, Bayer's blood thinner Xarelto scores in artery disease post-surgery - FiercePharma"
139,2020-03-28,Johnson & Johnson Stock Rebounds Below 'Reversion to the Mean' - Investopedia
140,2020-03-29,Johnson & Johnson aims to begin clinical trial of coronavirus vaccine by September - KTLA Los Angeles|US and J&J commit $1b to coronavirus vaccine codeveloped by Beth Israel - The Boston Globe|Drugmakers fight for freight space as coronavirus grounds flights - South China Morning Post
141,2020-03-30,"Johnson & Johnson partners with US Government to co-fund COVID-19 vaccine research - The New Economy|The $1 billion bet: Pharma giant and U.S. government team up in all-out coronavirus vaccine push - Science|J&J says clinical trials for COVID-19 vaccine candidate will begin by September - European Pharmaceutical Review|US stocks close higher but oil is at an 18-year low: March 30, 2020 - CNN"
142,2020-03-31,
143,2020-04-01,
144,2020-04-02,Johnson & Johnson chief looks to the greater good - Financial Times
145,2020-04-03,
146,2020-04-04,
147,2020-04-05,
148,2020-04-06,Everything Must Go Right for Big Pharma’s Bet on a Fast Vaccine - Bloomberg
149,2020-04-07,"Hilarious, heartfelt, the signs of the times - Sippican Week"
150,2020-04-08,6 impactful ways Johnson & Johnson is helping in the fight against COVID-19 - Johnson & Johnson
151,2020-04-09,(PDF) Financial Statement Analysis: A comparative analysis of Johnson and Johnson (JNJ) vs Eli Lilly Company (LLY) - ResearchGate|The Shocking Size Of Johnson & Johnson - Daily Infographic
152,2020-04-10,
153,2020-04-11,
154,2020-04-12,High-profile marketer Richa Goswami leaves J&J - Campaign Asia
155,2020-04-13,"How is COVID-19 affecting drugmakers? J&J execs offer some early clues - FiercePharma|JNJ Shares Up Nearly 4% as Johnson & Johnson Posts Revenue of $20,69B in Q1 2020 - Coinspeaker|Johnson and Johnson Heiress’ Horse Farm Is Relisted With Huge Price Cut - Realtor.com News|JNJ Rallies After First Quarter Earnings Beat - TheStreet"
156,2020-04-14,What you need to know about Johnson & Johnson's 2020 first-quarter earnings - Johnson & Johnson|Selective inhibition of cancer cell self-renewal through a Quisinostat-histone H1.0 axis - Nature.com|Johnson & Johnson Lowers Revenue Forecast on Coronavirus Impact - The Wall Street Journal|P2X7 receptor inhibition ameliorates dendritic spine pathology and social behavioral deficits in Rett syndrome mice - Nature.com
157,2020-04-15,"JLABS @ Washington, DC: The unique innovation hub that's poised to help protect us from future pandemics - Johnson & Johnson|Johnson & Johnson CEO Alex Gorsky on a Potential COVID-19 Vaccine - Johnson & Johnson|2020-2024 Alfentanil Market Worldwide Analysis Report - openPR"
158,2020-04-16,"Johnson & Johnson, Gilead and Roche are the world’s antiviral patent leaders &nbsp - IAM|Johnson & Johnson execs offer upbeat view of second-half recovery from COVID-19 pandemic - MarketWatch"
159,2020-04-17,
160,2020-04-18,
161,2020-04-19,The top 20 pharma companies by 2019 revenue - FiercePharma
162,2020-04-20,"J&J, AbbVie's Imbruvica pads CLL lead with FDA green light in younger patients - FiercePharma"
163,2020-04-21,How Johnson & Johnson IT is managing a global crisis - CIO
164,2020-04-22,
165,2020-04-23,"""I'm racing to screen thousands of molecules"": These scientists are canvassing a vast library in search of a potential COVID-19 treatment - Johnson & Johnson"
166,2020-04-24,
167,2020-04-25,
168,2020-04-26,U.S. judge rules talc lawsuits against Johnson & Johnson can proceed - Fox Business
169,2020-04-27,
170,2020-04-28,"Caring on the COVID-19 front lines: ""I rallied colleagues all over the world to help me make over 2,100 cloth masks"" - Johnson & Johnson"
171,2020-04-29,
172,2020-04-30,
173,2020-05-01,
174,2020-05-02,Meet Two Innovative Nurses Working to Keep Moms and Babies Healthy - Johnson & Johnson
175,2020-05-03,
176,2020-05-04,
177,2020-05-05,
178,2020-05-06,
179,2020-05-07,"Johnson & Johnson’s Stock Tops Out, But There’s More To The Story - The Healthcare Technology Report."
180,2020-05-08,
181,2020-05-09,
182,2020-05-10,Even finding a covid-19 vaccine won’t be enough to end the pandemic - The Washington Post
183,2020-05-11,Adenoviral vectors are the new COVID-19 vaccine front-runners. Can they overcome their checkered past? - Chemical & Engineering News
184,2020-05-12,ASCO: J&J's Erleada extends lives by 14 months in nonmetastatic prostate cancer - FiercePharma
185,2020-05-13,
186,2020-05-14,Lava Therapeutics Announces Collaboration with Janssen to Develop Bi-specific Gamma-Delta T-cell Engager Therapeutics - Business Wire
187,2020-05-15,
188,2020-05-16,Johnson & Johnson looks to acquire Ci:z Holdings Co. Ltd for up to $2.05bn - Healthcare Digital | Made-in-India Coronavirus test swabs to cost only one-tenth of imported ones - The Hindu | Johnson & Johnson are no longer selling metal-on-metal hip implants - Healthcare Digital | TOP 10: Most Promising Drugs Guaranteed to Save Lives in 2015 - Healthcare Digital
189,2020-05-17,Johnson & Johnson Faces Elmiron Lawsuit for Allegedly Concealing Adverse Event Data - MedTruth|Janssen Presents First Data from Phase 1 Study of BCMAxCD3 Bispecific Teclistamab in Patients with Heavily Pre-treated Relapsed or Refractory Multiple Myeloma - Business Wire
190,2020-05-18,"Johnson & Johnson Discontinues Talc Baby Powder in U.S., Canada - Bloomberg|Johnson & Johnson to discontinue talc-based baby powder - Fox Business|Johnson & Johnson stops selling talc-based baby powder - Financial Times|Johnson & Johnson discontinues talc baby powder in U.S. and Canada - Los Angeles Times"
191,2020-05-19,"Johnson & Johnson discontinues talc-based baby powder in U.S., Canada amid lawsuits - NBC News|Johnson & Johnson will stop selling talc-based Johnson's Baby Powder - USA TODAY"
192,2020-05-20,"Johnson & Johnson Finally Shuts Business in US-Canada, Lawsuits Claim Its Baby Talcum Powder Caused Cancer - India.com|Johnson & Johnson Discontinues Talcum Baby Powder in U.S. and Canada - TIME|Johnson & Johnson Discontinues Talc-Based Baby Powder In US And Canada - Forbes|Johnson & Johnson will stop selling talc-based baby powder - CNN|Johnson & Johnson to stop selling talc baby powder in U.S. and Canada - Reuters.com"
193,2020-05-21,"Johnson & Johnson baby talc powder: Should North American market pullout be a concern for Indian... - Moneycontrol|Johnson & Johnson to halt North American sales of talc-based Johnson’s baby powder - Salon|Do UK parents need to be concerned about Johnson & Johnson talc scandal? - The Independent|Johnson & Johnson Stops Selling Baby Powder In America — What Is Talc, And Why It May Be A Concern - NYLON SINGAPORE|Women in vaginal mesh lawsuit settle for £50m - Scottish Legal News"
194,2020-05-22,
195,2020-05-23,
196,2020-05-24,
197,2020-05-25,
198,2020-05-26,"AI at Johnson & Johnson – Current Investments - Emerj|Johnson & Johnson supplies hydration drinks to over 20,000 medical frontliners - Philstar.com"
199,2020-05-27,Feminine Products: Buy Women Hygiene Products @Upto 10% OFF - Netmeds.com
200,2020-05-28,J&J To Discontinue Sales of Talc-Based Baby Powder - ConsumerSafety.org
201,2020-05-29,
202,2020-05-30,Johnson & Johnson’s Angela Coble on averting a virus crisis - CIO
203,2020-05-31,"Janssen, PRA Design First Mobile Virtual Trial - Contract Pharma|This is the time when technology will leap frog: Emrana Sheikh, Johnson & Johnson - People Matters"
204,2020-06-01,
205,2020-06-02,"Pfizer, Merck, AZ, J&J and Moderna selected as 'Warp Speed' finalists: NYT - FiercePharma | Biopharma CEOs call for action on systemic racism—across America and in their own ranks - FiercePharma"
206,2020-06-03,
207,2020-06-04,"Fresh off ASCO myeloma data, Legend Bio gets $424M in biotech’s biggest IPO of 2020 - BioPharma Dive | Free One on One Golf Lessons to Introduce Newbies to Golf - Jack Newton Junior Golf"
208,2020-06-05,
209,2020-06-06,"Johnson & Johnson Partner's Stock Soars As Investors Embrace China Health, Tech - Forbes"
210,2020-06-07,
211,2020-06-08,Johnson & Johnson delivers its first 4K endoscopic imaging system in China - China Daily
212,2020-06-09,"Testing accelerated for coronavirus vaccine developed by Beth Israel, Johnson & Johnson - The Boston Globe"
213,2020-06-10,Band-Aid launching racially diverse bandages - New York Post
214,2020-06-11,Band-Aid will make black and brown flesh-toned bandages - CNN|BIO: Kura Oncology CEO Wilson on the power of biotech in the quest beyond KRAS - Fierce Biotech|Band-Aid Brings Back Bandages for Diverse Skin Tones - NBC Chicago
215,2020-06-12,EHA: Johnson & Johnson's Darzalex branches out beyond myeloma with AL amyloidosis win - FiercePharma
216,2020-06-13,Band-Aid will make black and brown flesh-toned bandages - KWTX
217,2020-06-14,BAND-AID released new bandages in different skin-colors - ABC13 Houston
218,2020-06-15,Four signs of a competitive moat at Johnson & Johnson (NYQ:JNJ) - Stockopedia
219,2020-06-16,Lassen Therapeutics uncloaks with $31M and anti-IL-11 antibody - Fierce Biotech
220,2020-06-17,
221,2020-06-18,
222,2020-06-19,"Johnson & Johnson will stop selling its 'Clean & Clear ' fairness products in India|Company Business News - Mint|Johnson & Johnson discontinues Middle East skin lightening products - The New Arab|Johnson & Johnson will no longer sell skin-lightening products sold mainly in India, Middle East, and other parts of Asia - Business Insider|Johnson & Johnson stops sale of 'Clean & Clear' fairness products in India amid criticism - Republic World"
223,2020-06-20,
224,2020-06-21,"Johnson & Johnson pulls skin whitening creams off shelves in Asia, Middle East - afaqs! | Johnson & Johnson Will Finally Stop Selling Skin-Whitening Creams - The Cut | J&J To Pull Skin-Whitening Creams - Beauty Packaging | Johnson & Johnson To Stop Selling 2 Lines Of Skin-Lightening Products Popular In Asia - NPR | Johnson & Johnson Is Ceasing Production of Skin-Care Products Used for Skin Lightening in Asia and Middle East - Allure"
225,2020-06-22,Why Johnson & Johnson Is Stopping The Sale Of Skin-Whitening Creams - The List|Johnson & Johnson to cease sale of skin whitening products - GlobalCosmeticsNews|Shock in Asia as skincare giant ends skin-whitening cream sales - South China Morning Post
226,2020-06-23,"Virology analysis of chronic hepatitis B virus–infected patients treated for 28 days with JNJ-56136379 monotherapy - Wiley Online Library|The Crossover: A Profitable Intersection of Asset Prices - Towards Data Science|Johnson & Johnson ordered to pay $2.1 billion in baby powder lawsuit - The Hill|Missouri appeals court reduced Johnson & Johnson's compensation verdict by half to US$ 2,12 billion - MercoPress"
227,2020-06-24,"Twitter says 'fare thee well' to skin-whitening creams as HUL knocks off 'Fair' from 'Fair and Lovely' - The Economic Times|Amid calls for racial equality, people question why 'beauty means white skin' - CGTN|Unilever, Johnson & Johnson will pull or rebrand skin-lightening creams in India - CNN|""I'm one of the more than half a million people who can go years undiagnosed"": A woman shares the story of her shocking AFib Diagnosis - Johnson & Johnson|Johnson & Johnson Will Stop Selling Skin-Whitening Lotions (Published 2020) - The New York Times"
228,2020-06-25,J&J's Janssen scraps Stelara study in SLE - The Pharma Letter|Criticism of Skin Lighteners Brings Retreat by Unilever and Johnson & Johnson (Published 2020) - The New York Times
229,2020-06-26,Johnson & Johnson to Pull Down Fairness Cream From India And Other Asia-Middle East Markets Amid Black Lives - India.com
230,2020-06-27,"L'Oréal is the latest beauty company to remove words like 'fair,' 'light,' and 'whitening' from marketing skin-tone products - Business Insider"
231,2020-06-28,Certain Personality Traits in Patients With Psoriasis May Explain Social Anxiety - AJMC.com Managed Markets Network
232,2020-06-29,Companies are pulling skin-lightening items and reckoning with racism - Business Insider
233,2020-06-30,
234,2020-07-01,Access and pricing principles - Johnson & Johnson
235,2020-07-02,
236,2020-07-03,
237,2020-07-04,
238,2020-07-05,"""AIDS won’t stop for COVID-19"": Meet 3 inspiring women who are as committed as ever to making HIV history - Johnson & Johnson | Governments must scale up better TB treatment as J&J drops crucial drug price - Médecins Sans Frontières (MSF) International | Announcing Price Reduction for BDQ for Treatment of DR-TB in Low- And Middle-Income Countries - Stop TB Partnership"
239,2020-07-06,Biomedical engineer Pallavi Tiwari named ‘Women in STEM2D Scholar’ - The Daily|Case Western Reserve University|Johnson & Johnson et al. v. Advanced Inventory Management Inc. et al. - Global Legal Chronicle
240,2020-07-07,Pressure mounts on Johnson & Johnson to halt sales of baby powder globally - Deccan Chronicle
241,2020-07-08,
242,2020-07-09,Campaign to stop Johnson&Johnson selling its talk Baby Powder worldwide - MercoPress
243,2020-07-10,nan
244,2020-07-11,
245,2020-07-12,Perfect Corp. and Johnson & Johnson Launch First-Ever AR Virtual Contact Lens Try-On in Taobao and WeChat Mini Programs - Business Wire | The top 15 pharma companies by 2026 sales - FiercePharma | Bad Breath Offers a Rare Payoff in Listerine-Royalty Stake Sale - Bloomberg
246,2020-07-13,"J&J's Tremfya grabs psoriatic arthritis nod, setting up a battle with Cosentyx, Taltz and more - FiercePharma"
247,2020-07-14,These 3 Healthcare Companies Drive Innovation Through Venture Capital - Built In
248,2020-07-15,
249,2020-07-16,"Johnson & Johnson delays regulatory filing for general surgery robot - Robot Report | J&J drops planned 510(k) for Verb-Auris robot, targets 2022 clinical trial start - MedTech Dive"
250,2020-07-17,
251,2020-07-18,
