,date,top_5_titles
44,2019-12-24,Carcinogens in Consumer Products - C-SPAN | The 5 best and 5 worst pharma deals of the decade: Leerink - Business Insider
45,2019-12-25,Look for the sign: The unique way Johnson & Johnson helped ring in the New Year in 1915 - Johnson & Johnson
46,2019-12-26,Look for the sign: The unique way Johnson & Johnson helped ring in the New Year in 1915 - Johnson & Johnson
47,2019-12-27,
48,2019-12-28,
49,2019-12-29,
50,2019-12-30,
51,2019-12-31,
52,2020-01-01,"AG Ferguson sues opioid manufacturer Johnson & Johnson over state’s opioid epidemic - Washington State | Office of the Attorney General | Biosimilars a '21st century revolution that we're helping to lead', says Biogen exec - The Pharma Letter"
53,2020-01-02,"AG Ferguson sues opioid manufacturer Johnson & Johnson over state’s opioid epidemic - Washington State | Office of the Attorney General | Biosimilars a '21st century revolution that we're helping to lead', says Biogen exec - The Pharma Letter"
54,2020-01-03,Johnson & Johnson faces criminal charges in faulty hip implants case - The Economic Times
55,2020-01-04,Johnson & Johnson faces criminal charges in faulty hip implants case - The Economic Times
56,2020-01-05,
57,2020-01-06,"JAMA Study Finds No Significant Link Between Talc Powder, Ovarian Cancer - AJMC.com Managed Markets Network"
58,2020-01-07,"Johnson & Johnson's Ernie Knewitz named Americas comms lead for Janssen - PR Week | JAMA Study Finds No Significant Link Between Talc Powder, Ovarian Cancer - AJMC.com Managed Markets Network | US Latino Population With Psoriasis Exposed to Heightened Disease Severity, Worse Quality of Life - AJMC.com Managed Markets Network"
59,2020-01-08,"Johnson & Johnson’s Ernie Knewitz named Americas comms lead for Janssen - MM+M Online | US Latino Population With Psoriasis Exposed to Heightened Disease Severity, Worse Quality of Life - AJMC.com Managed Markets Network"
60,2020-01-09,Johnson & Johnson’s Ernie Knewitz named Americas comms lead for Janssen - MM+M Online | Janssen Expands Research & Development Presence with Major Investment in South San Francisco - Business Wire | J&J’s Ethicon defeats all but 4 claims in Kentucky pelvic mesh case - Mass Device
61,2020-01-10,Janssen Expands Research & Development Presence with Major Investment in South San Francisco - Business Wire | J&J’s Ethicon defeats all but 4 claims in Kentucky pelvic mesh case - Mass Device
62,2020-01-11,"Harold Burson, public relations giant often called upon during a crisis, dies at 98 - The Washington Post"
63,2020-01-12,"Johnson & Johnson to pay $6.3M in Infants' Tylenol class-action lawsuit - WTHR | Johnson & Johnson to Pay $6.3 Million in Infant’s Tylenol Settlement - WNEP Scranton/Wilkes-Barre | If you bought Infants’ Tylenol, you may be entitled to cash under class action lawsuit - WECT | Harold Burson, public relations giant often called upon during a crisis, dies at 98 - The Washington Post"
64,2020-01-13,"After Johnson & Johnson Lawyer Scolded By Judge, Talc Trial Resumes With New Defense Team - Law.com | Treatment of human skeletal muscle cells with inhibitors of diacylglycerol acyltransferases 1 and 2 to explore isozyme-specific roles on lipid metabolism - Nature.com | Johnson & Johnson to pay $6.3M in Infants' Tylenol class-action lawsuit - WTHR | Johnson & Johnson to Pay $6.3 Million in Infant’s Tylenol Settlement - WNEP Scranton/Wilkes-Barre | If you bought Infants’ Tylenol, you may be entitled to cash under class action lawsuit - WECT"
65,2020-01-14,"Healthpeak Signs Johnson & Johnson Subsidiary to The Shore at Sierra Point - Connect CRE | After Johnson & Johnson Lawyer Scolded By Judge, Talc Trial Resumes With New Defense Team - Law.com | Treatment of human skeletal muscle cells with inhibitors of diacylglycerol acyltransferases 1 and 2 to explore isozyme-specific roles on lipid metabolism - Nature.com"
66,2020-01-15,Healthpeak Signs Johnson & Johnson Subsidiary to The Shore at Sierra Point - Connect CRE
67,2020-01-16,Judge Slashes $8 billion Risperdal award against Johnson & Johnson to $6.8 million - CBS News
68,2020-01-17,Judge Slashes $8 billion Risperdal award against Johnson & Johnson to $6.8 million - CBS News
69,2020-01-18,
70,2020-01-19,Alzheimer’s disease: Why one company refuses to give up the search for a cure - Johnson & Johnson | How the 8 biggest U.S. pharmas enriched their shareholders in 2019 - FiercePharma
71,2020-01-20,Alzheimer’s disease: Why one company refuses to give up the search for a cure - Johnson & Johnson | How the 8 biggest U.S. pharmas enriched their shareholders in 2019 - FiercePharma | JNJ Stock Pattern Suggests Uptrend is Almost Over - EWM Interactive
72,2020-01-21,"Johnson & Johnson beats Wall Street expectations on profit, misses on revenue - CNBC | Johnson & Johnson Is Regaining Its Health - The Wall Street Journal | JNJ Stock Pattern Suggests Uptrend is Almost Over - EWM Interactive"
73,2020-01-22,"Johnson & Johnson beats Wall Street expectations on profit, misses on revenue - CNBC | Johnson & Johnson Is Regaining Its Health - The Wall Street Journal | Johnson & Johnson to disclose robot-assisted surgery plans in May - Robot Report | Stelara setback in UK reimbursement process - The Pharma Letter | Juniors Star at NSW Amateur - Jack Newton Junior Golf"
74,2020-01-23,Johnson & Johnson to disclose robot-assisted surgery plans in May - Robot Report | Stelara setback in UK reimbursement process - The Pharma Letter | Rising Trends of Hydrogel Market in Worldwide | Topmost Key - openPR | Juniors Star at NSW Amateur - Jack Newton Junior Golf
75,2020-01-24,Rising Trends of Hydrogel Market in Worldwide | Topmost Key - openPR
76,2020-01-25,
77,2020-01-26,"J&J CEO takes the stand for first time at Baby Powder trial - Al Jazeera English | Theismann, Johnson & Johnson exec kick off SMC3 Jump Start conference - American Journal of Transportation"
78,2020-01-27,"What you need to know about the coronavirus—and a potential preventive vaccine - Johnson & Johnson | J&J's ketamine depression drug Spravato spurned by England's influential cost watchdogs - FiercePharma | J&J CEO takes the stand for first time at Baby Powder trial - Al Jazeera English | Theismann, Johnson & Johnson exec kick off SMC3 Jump Start conference - American Journal of Transportation"
79,2020-01-28,What you need to know about the coronavirus—and a potential preventive vaccine - Johnson & Johnson | J&J's ketamine depression drug Spravato spurned by England's influential cost watchdogs - FiercePharma
80,2020-01-29,"Attorney General Becerra Secures nearly $344 Million Judgment Against Johnson & Johnson for Endangering Patients through Deceptive Marketing of Pelvic Mesh Products - California Department of Justice | Johnson & Johnson Is Told to Pay $344 Million in Pelvic Mesh Suit (Published 2020) - The New York Times | Bayer's Nubeqa scores key prostate cancer win in battle with Pfizer, J&J - FiercePharma"
81,2020-01-30,"Johnson & Johnson Is Told to Pay $344 Million in Pelvic Mesh Suit (Published 2020) - The New York Times | Attorney General Becerra Secures nearly $344 Million Judgment Against Johnson & Johnson for Endangering Patients through Deceptive Marketing of Pelvic Mesh Products - California Department of Justice | Johnson & Johnson ordered to pay US$344 million in pelvic mesh case - CTV News | Bayer's Nubeqa scores key prostate cancer win in battle with Pfizer, J&J - FiercePharma | Johnson & Johnson Fined $344M in Pelvic Mesh Case - MPO-mag"
82,2020-01-31,Johnson & Johnson Fined $344M in Pelvic Mesh Case - MPO-mag | Johnson & Johnson ordered to pay US$344 million in pelvic mesh case - CTV News | Transvaginal mesh: Johnson & Johnson fined $344m for deceptive marketing to women - The Guardian | Johnson & Johnson (JNJ) Fundamental Valuation Report - ValueWalk | Johnson & Johnson Acquires TARIS Biomedical - Contract Pharma
83,2020-02-01,Johnson & Johnson Acquires TARIS Biomedical - Contract Pharma
84,2020-02-02,
85,2020-02-03,Johnson & Johnson ordered to pay $344M in marketing case - Southwest Ledger | FDA to hold public meeting on testing for asbestos in talc - NBC News | Judge Sanctions Simmons Hanly for 'Frivolous' Disclosure of J&J CEO's Deposition - Law.com
86,2020-02-04,"Johnson & Johnson ordered to pay $344M in marketing case - Southwest Ledger | Does baby powder cause cancer? Johnson & Johnson stops selling talc powder after years of scrutiny - USA TODAY | FDA to hold public meeting on testing for asbestos in talc - NBC News | Judge Sanctions Simmons Hanly for 'Frivolous' Disclosure of J&J CEO's Deposition - Law.com | Johnson & Johnson Dr. Paul Janssen Award 2020 for Biomedical Research ($200,000 Cash prize) - Opportunity Desk"
87,2020-02-05,"Jury Orders J&J to Pay $750 Million for Talc Case Punishment - Bloomberg | Does baby powder cause cancer? Johnson & Johnson stops selling talc powder after years of scrutiny - USA TODAY | Johnson & Johnson Dr. Paul Janssen Award 2020 for Biomedical Research ($200,000 Cash prize) - Opportunity Desk"
88,2020-02-06,Jury Orders J&J to Pay $750 Million for Talc Case Punishment - Bloomberg | Johnson & Johnson ordered to pay $750 million in New Jersey talc case: Lawyer - Fox Business
89,2020-02-07,
90,2020-02-08,
91,2020-02-09,"That's so presidential! 4 of Johnson & Johnson’s most memorable moments with heads of state - Johnson & Johnson | Johnson & Johnson ""most valuable"" pharma brand, says report - European Pharmaceutical Review"
92,2020-02-10,"That's so presidential! 4 of Johnson & Johnson’s most memorable moments with heads of state - Johnson & Johnson | Johnson & Johnson ""most valuable"" pharma brand, says report - European Pharmaceutical Review"
93,2020-02-11,The charming way Johnson & Johnson showed its love to employees in the 1960s - Johnson & Johnson | Exclusive: Pharma firm exploited patient group to lobby NHS for drug approval - PR Week
94,2020-02-12,The charming way Johnson & Johnson showed its love to employees in the 1960s - Johnson & Johnson | Exclusive: Pharma firm exploited patient group to lobby NHS for drug approval - PR Week | GIANT PARTNERSHI­P FROM JANSSEN AND ABDİ İBRAHİM PHARMACEUT­ICAL COMPANY - PressReader | Johnson and Johnson launch investigation after mothers claim children were left with 'burn' marks - Daily Mail
95,2020-02-13,Encouraging data for subcutaneous Stelara in Crohn's disease - The Pharma Letter | GIANT PARTNERSHI­P FROM JANSSEN AND ABDİ İBRAHİM PHARMACEUT­ICAL COMPANY - PressReader | Baby wipe range withdrawn by Johnson & Johnson after parents report “burns” to children’s faces - Deadline News | Johnson and Johnson launch investigation after mothers claim children were left with 'burn' marks - Daily Mail
96,2020-02-14,Encouraging data for subcutaneous Stelara in Crohn's disease - The Pharma Letter | Baby wipe range withdrawn by Johnson & Johnson after parents report “burns” to children’s faces - Deadline News
97,2020-02-15,
98,2020-02-16,J&J Institute rolling out VR headsets to train surgeons - MedCity News | DePuy Synthes Confirms Plans To Move Distribution Center - InkFreeNews.com
99,2020-02-17,Johnson & Johnson to Expand Partnership with U.S. Department of Health & Human Services to Accelerate the Discovery of Potential COVID-19 Treatments - PR Newswire | J&J Institute rolling out VR headsets to train surgeons - MedCity News | Sanofi Pasteur to use SARS technology to expedite potential COVID-19 vaccine - The Pharma Letter | DePuy Synthes Confirms Plans To Move Distribution Center - InkFreeNews.com
100,2020-02-18,Johnson & Johnson to Expand Partnership with U.S. Department of Health & Human Services to Accelerate the Discovery of Potential COVID-19 Treatments - PR Newswire | J&J offered doctors free services and profit-making advice to boost Remicade scripts: whistleblower suit - FiercePharma | Johnson & Johnson pays $514 million in lump sums in 2019 - Pensions & Investments | Sanofi Pasteur to use SARS technology to expedite potential COVID-19 vaccine - The Pharma Letter | GIRLGAMER Esports Festival Announces Partnerships With Multiple Cosmetics Brands – ARCHIVE - archive.esportsobserver.com
101,2020-02-19,J&J offered doctors free services and profit-making advice to boost Remicade scripts: whistleblower suit - FiercePharma | Johnson & Johnson pays $514 million in lump sums in 2019 - Pensions & Investments | GIRLGAMER Esports Festival Announces Partnerships With Multiple Cosmetics Brands – ARCHIVE - archive.esportsobserver.com
102,2020-02-20,J&J’s Ethicon mostly fends off Intuitive Surgical’s robotic surgery patent challenge - Mass Device
103,2020-02-21,J&J’s Ethicon mostly fends off Intuitive Surgical’s robotic surgery patent challenge - Mass Device
104,2020-02-22,"For U.S. Media Agency of the Year UM, Making Cannes-Worthy Movies Is Just Part of the Job - Adweek"
105,2020-02-23,"For U.S. Media Agency of the Year UM, Making Cannes-Worthy Movies Is Just Part of the Job - Adweek | Battle of the ’bots: 4 robotic surgery rivalries to watch in the year ahead - MedTech Dive"
106,2020-02-24,"Johnson & Johnson Launches Heartline™, the First-of-its-Kind, Virtual Study Designed to Explore if a New iPhone App and Apple Watch Can Help Reduce the Risk of Stroke - PR Newswire | Apple Working With Johnson & Johnson on 'Heartline Study' Aimed at Reducing Risk of Stroke - MacRumors | “I Think They’ll Be Very Generous With You”: Inside a Trump Bedminster/Mar-a-Lago Drug Deal—Literally - Vanity Fair | Battle of the ’bots: 4 robotic surgery rivalries to watch in the year ahead - MedTech Dive | Apple and Johnson & Johnson team up on new study to see if Apple Watch can reduce risk of stroke - CNBC"
107,2020-02-25,"Apple, J&J open enrollment of Heartline Study to Medicare seniors with iPhones - Mobihealth News | Apple, Johnson & Johnson team up on heart study using Apple Watches - Fierce healthcare | Why Apple and Johnson & Johnson's new heart study is a big deal for digital health - CNBC | “I Think They’ll Be Very Generous With You”: Inside a Trump Bedminster/Mar-a-Lago Drug Deal—Literally - Vanity Fair | Can an Apple Watch reduce the likelihood of suffering a stroke? The innovative study that's tackling the problem of AFib - Johnson & Johnson"
108,2020-02-26,"How Johnson & Johnson fills its procurement talent pipeline - Supply Chain Dive | Apple, Johnson & Johnson team up on heart study using Apple Watches - Fierce healthcare | Can your Apple Watch help prevent a stroke? - Fast Company"
109,2020-02-27,How Johnson & Johnson fills its procurement talent pipeline - Supply Chain Dive
110,2020-02-28,
111,2020-02-29,
112,2020-03-01,Johnson & Johnson to pay $2.6m to women with faulty pelvic mesh implants - ABC News | Thirty-One Dividend Aristocrats for Further Review - Dividend Growth Investor
113,2020-03-02,"Citing J&J's legal controversies, investor group calls for split of Gorsky's CEO and chairman roles - FiercePharma | Johnson & Johnson to pay $2.6m to women with faulty pelvic mesh implants - ABC News | Thirty-One Dividend Aristocrats for Further Review - Dividend Growth Investor"
114,2020-03-03,"Citing J&J's legal controversies, investor group calls for split of Gorsky's CEO and chairman roles - FiercePharma"
115,2020-03-04,J&J chief Alex Gorsky nabbed $25M pay package in year marked by legal controversy - FiercePharma | How a Red Bank lawyer won a $750 million verdict against Johnson & Johnson - Asbury Park Press
116,2020-03-05,Windows on the past: The Johnson & Johnson employees who were forever commemorated in stained glass - Johnson & Johnson | J&J chief Alex Gorsky nabbed $25M pay package in year marked by legal controversy - FiercePharma | How a Red Bank lawyer won a $750 million verdict against Johnson & Johnson - Asbury Park Press | Supira Medical closes $35m Series B for its pVAD tech - Mass Device
117,2020-03-06,Windows on the past: The Johnson & Johnson employees who were forever commemorated in stained glass - Johnson & Johnson | Supira Medical closes $35m Series B for its pVAD tech - Mass Device
118,2020-03-07,
119,2020-03-08,What it really feels like to have multiple sclerosis - Johnson & Johnson | Here's the Strategy Behind Miami Lawyers' $9 Million Win Against Johnson & Johnson - Law.com
120,2020-03-09,What it really feels like to have multiple sclerosis - Johnson & Johnson | Here's the Strategy Behind Miami Lawyers' $9 Million Win Against Johnson & Johnson - Law.com
121,2020-03-10,
122,2020-03-11,Beth Israel is working with Johnson & Johnson on a coronavirus vaccine - The Boston Globe | Thermo Fisher Scientific Signs Agreement with Janssen to Co-Develop Companion Diagnostic for Cancer - PR Newswire
123,2020-03-12,"Beth Israel is working with Johnson & Johnson on a coronavirus vaccine - The Boston Globe | Thermo Fisher Scientific Signs Agreement with Janssen to Co-Develop Companion Diagnostic for Cancer - PR Newswire | Professor served cease and desist after publishing journal article - The Brown Daily Herald | J. Seward Johnson, world-renowned sculptor, dies at 89 - My Central Jersey"
124,2020-03-13,"Seward Johnson, Johnson & Johnson heir who sculpted real-life images in bronze, dies at 89 - The Washington Post | Professor served cease and desist after publishing journal article - The Brown Daily Herald | J. Seward Johnson, world-renowned sculptor, dies at 89 - My Central Jersey"
125,2020-03-14,"Seward Johnson, Johnson & Johnson heir who sculpted real-life images in bronze, dies at 89 - The Washington Post"
126,2020-03-15,Covid-19 vaccine in development by J&J and BIDMC. - Pharmaceutical Technology
127,2020-03-16,Covid-19 vaccine in development by J&J and BIDMC. - Pharmaceutical Technology
128,2020-03-17,Lapierre Aircode aero road & Aerostorm time trial disc brake prototypes teased & raced by FDJ - BikeRumor.com
129,2020-03-18,J&J's Tylenol production at maximum capacity as coronavirus boosts demand - Reuters.com | Former Visiogen Chief Executive Tapped to Lead PROCEPT BioRobotics - MPO-mag | Lapierre Aircode aero road & Aerostorm time trial disc brake prototypes teased & raced by FDJ - BikeRumor.com
130,2020-03-19,Janssen sends off NDA for new multiple sclerosis drug ponesimod - Fierce Biotech | J&J's Tylenol production at maximum capacity as coronavirus boosts demand - Reuters.com | Former Visiogen Chief Executive Tapped to Lead PROCEPT BioRobotics - MPO-mag
131,2020-03-20,Janssen sends off NDA for new multiple sclerosis drug ponesimod - Fierce Biotech | Wall Street analysts say buy these ‘safe-haven’ stocks amid market volatility - CNBC
132,2020-03-21,Wall Street analysts say buy these ‘safe-haven’ stocks amid market volatility - CNBC
133,2020-03-22,"J&J joins one-stop shop movement, backs Omnicom to lead media, digital ...everything - Mi3"
134,2020-03-23,"J&J joins one-stop shop movement, backs Omnicom to lead media, digital ...everything - Mi3"
135,2020-03-24,
136,2020-03-25,How Johnson & Johnson companies used a ‘super poppy’ to make narcotics for America’s most abused opioid pills - The Washington Post
137,2020-03-26,"Advancing Well-Being and Resilience for Frontline Health Workers in COVID-19 - Johnson & Johnson | How Johnson & Johnson companies used a ‘super poppy’ to make narcotics for America’s most abused opioid pills - The Washington Post | ""I was on the front lines of the COVID-19 outbreak in Wuhan"": A doctor shares his story - Johnson & Johnson | Swiss operates the longest flight in its history with the Boeing 777 - aeroflap"
138,2020-03-27,"Advancing Well-Being and Resilience for Frontline Health Workers in COVID-19 - Johnson & Johnson | ""I was on the front lines of the COVID-19 outbreak in Wuhan"": A doctor shares his story - Johnson & Johnson | ACC: J&J, Bayer's blood thinner Xarelto scores in artery disease post-surgery - FiercePharma | Swiss operates the longest flight in its history with the Boeing 777 - aeroflap"
139,2020-03-28,"Johnson & Johnson Stock Rebounds Below 'Reversion to the Mean' - Investopedia | ACC: J&J, Bayer's blood thinner Xarelto scores in artery disease post-surgery - FiercePharma"
140,2020-03-29,Johnson & Johnson Stock Rebounds Below 'Reversion to the Mean' - Investopedia | Johnson & Johnson aims to begin clinical trial of coronavirus vaccine by September - KTLA Los Angeles | US and J&J commit $1b to coronavirus vaccine codeveloped by Beth Israel - The Boston Globe | Drugmakers fight for freight space as coronavirus grounds flights - South China Morning Post
141,2020-03-30,"Johnson & Johnson partners with US Government to co-fund COVID-19 vaccine research - The New Economy | The $1 billion bet: Pharma giant and U.S. government team up in all-out coronavirus vaccine push - Science | J&J says clinical trials for COVID-19 vaccine candidate will begin by September - European Pharmaceutical Review | US and J&J commit $1b to coronavirus vaccine codeveloped by Beth Israel - The Boston Globe | US stocks close higher but oil is at an 18-year low: March 30, 2020 - CNN"
142,2020-03-31,"The $1 billion bet: Pharma giant and U.S. government team up in all-out coronavirus vaccine push - Science | Johnson & Johnson partners with US Government to co-fund COVID-19 vaccine research - The New Economy | US stocks close higher but oil is at an 18-year low: March 30, 2020 - CNN | J&J says clinical trials for COVID-19 vaccine candidate will begin by September - European Pharmaceutical Review"
143,2020-04-01,
144,2020-04-02,Johnson & Johnson chief looks to the greater good - Financial Times
145,2020-04-03,Johnson & Johnson chief looks to the greater good - Financial Times
146,2020-04-04,
147,2020-04-05,
148,2020-04-06,Everything Must Go Right for Big Pharma’s Bet on a Fast Vaccine - Bloomberg
149,2020-04-07,"Everything Must Go Right for Big Pharma’s Bet on a Fast Vaccine - Bloomberg | Hilarious, heartfelt, the signs of the times - Sippican Week"
150,2020-04-08,"6 impactful ways Johnson & Johnson is helping in the fight against COVID-19 - Johnson & Johnson | Hilarious, heartfelt, the signs of the times - Sippican Week"
